brandid,brandname,overall_weighted_score,google_avg_local_rank,facebook_engagement_rate,google_avg_rating
3149,Principal,24,23.51,0.0177,3.42
3153,Smile Doctors,71,2.22,0.0029,4.82
3154,MG Properties Group,37,20.98,0.0015,3.75
3155,Sage Dental,50,14.43,0.0042,4.34
3159,Spray-Net,45,23.68,0.0342,4.96
3160,Northwestern Mutual,22,19.12,0.0151,4.33
3161,Two Maids,55,4.27,0.0017,4.63
3164,Premier Garage,45,23.18,0.0064,4.91
3167,Kitchen Tune-Up,45,17.25,0.0027,4.68
3169,Centennial Bank,34,7.64,0.024,3.82
3170,Bath Tune-Up,38,20.95,0.0068,4.94
3171,Aussie Pet Mobile,47,24.04,0.0063,4.26
3172,Advantaclean,39,17.23,0.0054,4.79
3173,YMCA of Oklahoma City,38,18.11,0.0039,4.23
3174,AtWork Group,40,9.21,0.0203,4.25
3183,PharMerica,25,11.97,0.01,3.35
3185,Diamond Property Management,9,17.7,0.0139,3.11
3186,Deli Delicious,46,4.49,0.0009,4.02
3187,Encova Mutual Insurance Group,35,15.06,0.0142,4.64
3189,Ryder,35,3.62,13.1624,4.04
3195,Price Edwards & Company,24,25.0,0.0055,3.48
3196,Ascent Residential,40,25.0,0.0019,3.6
3197,Logan Property Management,29,18.46,0.0136,3.39
3198,Dawn Asset Management,18,17.14,0.0002,3.18
3199,Randstad,29,9.16,0.0121,4.05
3202,Guaranteed Rate,32,18.5,0.0067,3.88
3207,BNY Mellon,19,15.11,0.0158,3.78
3209,Office Pride Commercial Cleaning Services,29,15.66,0.0088,4.47
3211,Mosquito Squad,44,21.64,0.0009,4.88
3212,Bloomin Blinds,40,17.66,0.0051,4.96
3213,Window Hero,37,25.0,0.0092,4.85
3216,BryTen Management,30,12.9,0.0067,3.63
3217,Sheng Raamco Management,25,14.71,0.007,3.26
3219,Huntington Learning Center,59,2.73,0.0009,4.64
3220,Cadence Education,62,7.03,0.0154,4.58
3221,Learning Care Group,36,6.94,0.1738,3.77
3222,Fred Astaire Dance Studio,60,4.46,0.0068,4.89
3223,The Camp Transformation Center,55,2.68,0.0004,4.68
3226,Visique,45,1.28,0.1723,4.64
3228,Sign Gypsies,42,22.42,0.0025,4.84
3229,Network Funding,27,13.31,0.0008,3.72
3230,Prime Lending,40,9.82,0.0017,4.83
3232,EG America,36,19.92,0.0214,3.31
3234,Mrs. Fields,28,9.43,0.0125,3.77
3237,Hounds Town,59,6.57,0.0047,4.9
3238,Voodoo Brewing Company,51,5.62,0.0063,4.4
3240,Cardinal Financial Company,33,16.73,0.004,3.38
3312,Country Financial,40,18.64,0.0144,4.76
3244,Capstone Real Estate Investments,31,21.52,0.0019,3.85
3342,Allstate,40,14.59,0.0142,4.57
3250,Ovation Property Management,37,16.18,0.004,3.79
3250,Ovation Property Management,39,16.18,0.004,3.79
3252,Better Homes and Gardens,63,22.9,0.0092,4.85
3252,Better Homes and Gardens,31,22.9,0.0092,4.85
3253,ERA,32,20.84,0.0092,4.97
3254,Coldwell Banker Commercial,23,25.0,0.0176,4.33
3255,Coldwell Banker,34,22.71,0.0108,4.7
3256,Property Management,39,25.0,0.0,4.3
3257,Members 1st Federal Credit Union,35,2.33,0.1327,3.82
3260,Germania Insurance,28,16.42,0.0257,4.06
3262,DDS Dentures & Implant Solutions,54,22.67,0.0117,4.46
3264,Bowlero,70,1.56,0.0006,4.18
3248,Sky Zone,66,2.9,0.001,4.21
3270,Five Star Bath Solutions,41,18.61,0.0084,4.65
3271,SchoolsFirst Federal Credit Union,42,3.58,0.0064,4.33
3273,Dog Guard,40,16.83,0.008,4.81
3274,Spenga,59,3.69,0.0072,4.86
3275,Signarama,52,2.21,0.0043,4.86
3276,Gates Hudson,24,13.09,0.004,3.48
3277,Solomon Organization,30,13.81,0.0014,3.4
3278,Cadillac,56,20.94,0.0027,4.4
1,1-800 Water Damage,46,8.62,0.0083,4.92
5,911 Restoration,48,8.35,0.0057,4.67
13,American Family Care,64,2.05,0.0008,4.25
941,ZRS,38,10.58,0.0191,3.87
18,AR Workshop,56,4.41,0.0011,4.94
28,"BH Management Services, LLC",40,25.0,0.0026,3.86
29,Big O Tires,70,2.9,0.0043,4.28
38,Buffalo Wild Wings,57,5.56,0.001,3.77
39,Burger King,42,12.19,0.0143,3.47
43,Card My Yard,44,24.9,0.0035,4.97
64,Conserva Irrigation,41,15.28,0.0035,4.81
66,Cost Cutters Family Hair Care,49,13.17,0.0091,4.1
72,Cruise Planners,32,15.83,0.0024,4.76
79,Delta Restoration Services,44,10.8,0.0141,4.61
86,Econo Lodge,42,9.76,0.0469,3.33
112,H&R Block,47,3.69,0.2218,4.65
124,HoneyBaked Ham,52,24.41,0.59,4.39
126,Hyatt,67,10.08,0.0041,4.3
131,Jackson Hewitt,50,7.06,0.0096,4.63
137,Jiffy Lube,66,2.72,0.0123,4.36
161,Midas,53,10.56,0.1364,4.23
163,Minuteman Press,42,2.28,0.012,4.79
171,Mr. Rooter,55,9.02,0.0043,4.62
173,N-Hance Wood Refinishing,41,17.1,0.0084,4.78
182,Outback Steakhouse,63,22.85,0.0004,4.14
183,Palm Beach Tan,58,1.87,0.0031,4.25
184,Panera Bread,53,10.7,0.0004,3.97
186,Papa Murphy's,41,9.46,1.3275,4.32
188,Paul Davis Restoration,45,7.11,0.0046,4.32
191,Pet Wants,46,13.37,0.0045,4.94
194,Pizza Hut,54,3.95,0.0012,3.65
198,Potbelly Sandwich Shop,68,2.37,1.0572,4.12
200,Profile by Sanford,59,1.98,0.0208,4.95
206,Quality Inn & Suites,52,5.45,0.0181,3.67
212,Red Roof Inn,40,8.83,0.0274,3.4
231,Snap-on Tools,14,10.97,0.0282,3.94
232,Snapology,36,21.48,0.0021,4.9
235,Spherion,41,5.58,0.0042,4.47
241,Stratus Building Solutions,37,15.6,0.0049,4.3
248,Take 5 Oil Change,57,2.46,0.0263,4.49
254,The Maids,53,7.91,0.0321,4.3
262,Twin Peaks,73,17.43,0.0206,4.38
263,Two Men and A Truck,71,2.33,0.0057,4.46
264,ubreakifix,61,1.92,0.0025,4.53
266,Valvoline Instant Oil Change,52,2.28,0.0043,4.3
270,Whataburger,55,8.94,0.0134,4.03
274,Wireless Zone,49,4.38,0.0012,4.67
275,Wyndham Hotels & Resorts,54,6.98,0.0033,3.81
288,Publix,60,9.16,0.0044,4.54
304,British Swim School,51,7.74,0.0019,4.66
306,Oasis Senior Advisors,35,20.04,0.0082,4.99
310,Road Runner Sports,82,1.05,0.0002,4.72
312,Prime Storage,34,22.26,8.8948,4.4
314,Carpet One,50,3.04,0.0224,4.43
315,The Human Bean,70,8.5,0.0093,4.57
322,The Durst Organization,39,21.0,0.0033,3.73
326,Gables Residential,47,23.3,0.0046,3.92
334,Doran Companies,34,13.0,0.0063,4.2
338,BLDG Management,41,19.75,0.0023,3.48
339,McWhinney,32,17.5,0.0054,3.55
351,Lurin Capital,30,12.17,0.0037,3.62
359,Jones & Jones Communities,42,19.2,0.0001,3.35
378,"Superior Auto, Inc",33,6.85,0.0051,4.17
387,Pizza Guys,38,4.6,0.0036,4.11
423,The Life Properties,40,17.52,0.0013,3.33
426,Nolan Real Estate,48,11.33,0.0035,4.05
448,Magnolia Capital,55,11.43,0.0005,3.99
454,NVision,48,19.57,0.0048,4.18
459,Women's Care of FL,34,25.0,0.0158,4.32
461,Fit4Mom,36,24.29,0.0039,4.96
506,Playa Bowls,39,25.0,0.017,4.01
509,Coffee Beanery,33,4.38,0.0093,4.01
521,ALG Senior,37,4.27,0.0227,3.47
529,CA Student Living,49,13.15,0.002,3.44
531,The Colliers Companies,49,20.16,0.0011,3.92
533,Campus Apartments,44,23.31,0.0006,3.27
541,Domino's Pizza,45,9.8,0.0184,3.66
547,Victory Automotive Group,69,18.71,0.0005,4.25
553,Jet's Pizza,60,6.78,3.9306,4.09
556,Lennar Multi Family Communities,54,16.29,0.0037,4.15
561,Fazoli's,71,18.62,1.753,4.14
568,Fresh Set,45,25.0,0.4235,1.8
569,Garage Force,37,20.78,0.0095,4.91
581,JDog Junk Removal,45,19.02,0.009,4.94
582,Two Maids & A Mop,56,3.81,0.0017,4.57
583,Handel's Homemade Ice Cream,69,2.37,0.0075,4.68
597,Decron Properties Corp,36,13.0,0.0086,3.69
607,S2 Residential,35,22.83,0.0009,3.27
610,Pierce Education Properties,47,21.22,0.0019,3.46
632,Drucker and Falk,35,14.55,0.0097,3.65
633,Broadmoor Marquee,46,12.18,0.0159,4.53
645,Lowe's Home Improvement,52,2.73,0.001,3.85
656,Eagle Rock Advisors,27,9.51,0.0034,3.54
657,The Woodhouse Day Spa,74,1.47,0.0022,4.59
658,Concrete Craft,35,18.48,0.0144,4.44
659,Massage Heights,69,13.23,0.0005,4.37
678,Price Less Foods,39,3.85,1.012,4.28
775,My Place Hotel,55,9.95,0.0018,4.3
800,Le Peep,54,16.05,0.0124,4.39
815,Hire Dynamics,46,3.6,0.006,4.7
818,Finish Line,33,24.84,0.0008,3.96
819,Sportsman's Warehouse,74,3.53,0.004,4.23
828,CVG Properties,30,13.27,0.0013,3.68
831,CKO Kickboxing,58,16.58,0.0037,4.7
834,Go Mini's,34,21.77,0.0042,4.61
842,Ikea,56,17.14,0.0001,4.19
845,MRD,33,5.43,0.0093,3.78
846,BAYADA,48,11.1,0.015,4.11
847,Desert Sun,39,24.74,0.0128,4.56
860,Precision Tune Auto Care,56,10.35,0.0081,4.29
864,Liberty Military Housing,35,22.63,0.0023,3.82
870,Nicolet National Bank,35,4.41,0.0272,3.95
879,Pacifica SD Management,33,24.43,0.0006,3.22
881,In-Shape Health Clubs,76,3.52,0.0012,4.36
911,Checkers,49,7.73,0.0108,3.65
913,Centerspace Homes,45,8.52,0.0025,3.84
925,HTeaO,71,4.16,0.0047,4.76
931,McLaren,64,3.06,0.0044,2.81
945,Four Seasons Sunrooms,41,5.62,0.0041,3.71
958,Reebok,51,25.0,0.0013,4.34
961,Forever 21,44,5.78,0.1857,3.93
964,Aéropostale,46,12.2,0.01,4.24
969,AFC Urgent Care,68,2.12,0.0038,4.44
971,Action Karate,57,2.96,0.0036,4.91
987,Berlitz,45,2.71,0.0004,4.43
989,Beef Jerky Outlet,34,22.03,0.0037,4.34
991,Heaven's Best Carpet Cleaning,39,9.03,0.0176,4.61
992,The Perfect Workout,47,5.62,0.0016,4.84
1007,Intelligent Office,47,4.11,0.0015,4.75
1115,HNN Associates,38,23.21,0.009,3.39
1122,Bass Pro Shops,72,5.96,0.0014,4.41
1161,Yogurtland,74,1.2,0.0002,4.42
1175,Learning Express Toys,64,1.14,0.0008,4.39
1177,J. Alexander's,64,14.83,0.0034,4.45
1178,Logan’s Roadhouse,62,3.63,0.0041,3.85
1186,Allstate Insurance,44,10.08,0.0111,4.54
1195,Atrium Health,43,23.25,0.0073,3.83
1196,Havertys Furniture,47,5.55,0.079,4.59
1227,Timberland,39,13.31,0.0091,4.11
1235,JUMP! Swim Schools,46,25.0,0.004,4.65
1238,Ninja Parc,44,25.0,0.0009,4.47
1239,Genesis Health and Fitness,50,25.0,0.0031,4.33
1244,Buckingham Properties,25,23.67,0.0016,3.05
2001,Shottenkirk,61,20.49,0.0071,4.28
2006,The Princeton Review,27,15.09,0.001,4.4
2008,AMC Theatres,58,1.66,0.0018,4.19
2012,Edward Jones,28,6.88,0.0091,4.33
2015,Wells Fargo Bank,31,6.65,0.0259,3.15
2016,Citizens,38,6.78,0.0051,3.31
2017,Bank of America,47,8.33,0.0988,2.49
2018,PNC Bank,27,9.16,0.2034,3.21
2020,Prudential Bank,23,25.0,0.0059,4.22
2028,1st Family Dental,64,8.0,0.0022,4.43
2030,Lane & Associates Family Dentistry,64,6.24,0.0013,4.89
2033,Costco Vision Center,40,4.33,0.0373,3.69
2035,Walmart Vision & Glasses,50,2.73,0.0045,3.73
2036,Visionworks,42,7.7,0.0022,4.13
2041,CWT,26,15.43,0.0033,4.0
2048,North American Van Lines,30,14.58,0.0135,3.58
2059,Sprinkles,52,13.31,0.0002,3.93
2061,Sunoco Gas Station,30,5.2,0.0422,3.63
2064,Chevron,30,6.5,0.0445,3.59
2065,Citgo,28,7.87,0.0389,4.06
2066,Lukoil,30,5.22,17.3703,3.77
2067,BP,30,6.32,0.6637,3.65
2075,Trader Joe's,65,7.47,0.1556,4.65
2089,Petland,59,4.88,0.0046,3.97
2091,Woof Gang Bakery & Grooming,68,5.17,0.0067,4.56
2094,Play It Again Sports,58,2.57,0.0047,4.26
2097,ADT Security Services,30,6.04,0.0174,2.87
2099,One Hour Heating & Air Conditioning,50,14.28,0.0028,4.52
